item_url,platform,latest_date,buy_med,sell_med,buy_depth_med,sell_depth_med,margin,roi_pct,opportunity_score
acid_shells,pc,2025-08-14,4.0,9.333,1.0,25.0,,,
akjagara_prime_receiver,pc,2025-08-14,5.0,9.667,4.0,5.0,,,
antimatter_absorb,pc,2025-08-14,,10.0,0.0,18.0,,,
arcane_barrier,pc,2025-08-14,27.333,4.0,8.0,55.0,,,
arcane_ice,pc,2025-08-14,,2.667,0.0,15.0,,,
catalyzer_link,pc,2025-08-14,,4.333,0.0,12.0,,,
cleanse_corrupted,pc,2025-08-14,,31.333,0.0,7.0,,,
comet_blast,pc,2025-08-14,,5.333,0.0,13.0,,,
corpus_gas_city_conduit_scene,pc,2025-08-14,33.0,,1.0,0.0,,,
corpus_ice_planet_wreckage_scene,pc,2025-08-14,,,0.0,0.0,,,
creeping_bullseye,pc,2025-08-14,,3.667,0.0,51.0,,,
decurion_barrel,pc,2025-08-14,,10.0,0.0,7.0,,,
eidolon_madurai_lens,pc,2025-08-14,,20.0,0.0,4.0,,,
eidolon_unairu_lens,pc,2025-08-14,,16.333,0.0,7.0,,,
eidolon_vazarin_lens,pc,2025-08-14,,19.333,0.0,5.0,,,
fluctus_barrel,pc,2025-08-14,,9.333,0.0,7.0,,,
fluctus_limbs,pc,2025-08-14,,11.667,0.0,6.0,,,
fluctus_stock,pc,2025-08-14,7.0,8.0,1.0,8.0,,,
frost_prime_set,pc,2025-08-14,80.0,90.0,17.0,50.0,,,
grineer_settlement_reactor_scene,pc,2025-08-14,,73.0,0.0,2.0,,,
grineer_shipyards_manufactory_scene,pc,2025-08-14,10.0,,1.0,0.0,,,
hunter_adrenaline,pc,2025-08-14,,4.333,0.0,32.0,,,
hydroid_prime_set,pc,2025-08-14,88.667,99.0,17.0,43.0,,,
infested_ship_bridge_scene,pc,2025-08-14,,,0.0,0.0,,,
irradiating_disarm,pc,2025-08-14,,12.333,0.0,8.0,,,
kappa_beacon,pc,2025-08-14,,56.667,0.0,3.0,,,
kaszas_blade,pc,2025-08-14,,10.667,0.0,5.0,,,
kitgun_riven_mod_(veiled),pc,2025-08-14,,1.0,0.0,22.0,,,
lua_nursery_scene,pc,2025-08-14,,97.5,0.0,2.0,,,
mantis_set,pc,2025-08-14,5.0,14.667,1.0,18.0,,,
mutalist_alad_v_assassinate_key,pc,2025-08-14,2.0,9.0,1.0,5.0,,,
mycona_colony_scene,pc,2025-08-14,33.0,,1.0,0.0,,,
nebula_bore,pc,2025-08-14,,7.667,0.0,5.0,,,
nightwatch_napalm,pc,2025-08-14,,9.0,0.0,39.0,,,
orokin_derelict_plaza_scene,pc,2025-08-14,,100.0,0.0,2.0,,,
pax_soar,pc,2025-08-14,,14.333,0.0,9.0,,,
quasar_drill,pc,2025-08-14,,23.333,0.0,3.0,,,
redeemer_prime_blade,pc,2025-08-14,1.0,4.667,2.0,10.0,,,
secura_dual_cestra,pc,2025-08-14,20.0,33.333,6.0,10.0,,,
spectrosiphon,pc,2025-08-14,,11.333,0.0,20.0,,,
star_crimzian,pc,2025-08-14,,2.0,0.0,9.0,,,
strun_wraith_receiver,pc,2025-08-14,8.5,20.0,2.0,1.0,,,
targeting_subsystem,pc,2025-08-14,,10.333,0.0,12.0,,,
tectonic_fracture,pc,2025-08-14,,9.667,0.0,5.0,,,
telos_boltor,pc,2025-08-14,10.5,25.0,2.0,6.0,,,
velocitus_receiver,pc,2025-08-14,,9.0,0.0,6.0,,,
viper_wraith,pc,2025-08-14,,50.0,0.0,10.0,,,
virtuos_strike,pc,2025-08-14,12.333,5.0,3.0,11.0,,,
wolf_sledge_head,pc,2025-08-14,,4.333,0.0,4.0,,,
zephyr_prime_chassis_blueprint,pc,2025-08-14,2.0,6.333,1.0,18.0,,,
